Miner ID,Total IMC,Computing Power,Blocks Mined
Miner412,2.55,279,0
Miner413,3.56,389,0
Miner414,1.54,168,0
Miner415,2.68,293,0
Miner416,16.24,464,0
Miner417,2.14,234,0
Miner418,3.85,421,0
Miner419,1.34,147,0
Miner420,1.76,192,0
Miner421,4.43,484,0
Miner422,4.36,477,0
Miner423,1.86,203,0
Miner424,1.57,172,0
Miner425,1.28,140,0
Miner426,3.69,403,0
Miner427,2.20,240,0
Miner428,2.56,280,0
Miner429,3.70,405,0
Miner430,3.69,403,0
Miner431,1.82,199,0
Miner432,1.12,122,0
Miner433,1.60,175,0
Miner434,2.71,296,0
Miner435,2.20,240,0
Miner436,1.95,213,0
Miner437,3.19,349,0
Miner438,2.36,258,0
Miner439,3.73,408,0
Miner440,3.53,386,0
Miner441,1.48,162,0
Miner442,3.76,411,0
Miner443,0.94,103,0
Miner444,3.96,433,0
Miner445,1.95,213,0
Miner446,2.68,293,0
Miner447,0.93,102,0
Miner448,13.18,129,0
Miner449,3.36,367,0
Miner450,1.05,115,0
Miner451,1.15,126,0
Miner452,15.59,393,0
Miner453,2.00,219,0
Miner454,1.52,166,0
Miner455,3.74,409,0
Miner456,2.48,271,0
Miner457,3.52,385,0
Miner458,16.55,498,0
Miner459,1.92,210,0
Miner460,2.62,286,0
Miner461,3.87,423,0
Miner462,1.08,118,0
Miner463,3.80,416,0
Miner464,16.50,492,0
Miner465,4.03,441,0
Miner466,2.40,262,0
Miner467,3.59,393,0
Miner468,1.08,118,0
Miner469,1.49,163,0
Miner470,1.36,149,0
Miner471,14.38,260,0
Miner472,2.62,287,0
Miner473,13.22,133,0
Miner474,0.99,108,0
Miner475,3.36,367,0
Miner476,2.04,223,0
Miner477,2.39,261,0
Miner478,2.96,324,0
Miner479,1.96,214,0
Miner480,1.80,197,0
Miner481,3.83,419,0
Miner482,2.47,270,0
Miner483,3.53,386,0
Miner484,3.49,382,0
Miner485,3.80,415,0
Miner486,1.66,182,0
Miner487,3.81,417,0
Miner488,2.80,306,0
Miner489,1.34,147,0
Miner490,3.79,414,0
Miner491,1.65,180,0
Miner492,4.32,472,0
Miner493,1.23,135,0
Miner494,1.02,111,0
Miner495,2.92,319,0
Miner496,3.90,426,0
Miner497,3.83,419,0
Miner498,1.87,204,0
Miner499,1.34,147,0
Miner500,4.31,471,0
Miner501,2.90,317,0
Miner502,1.82,199,0
Miner503,1.15,126,0
Miner504,3.96,433,0
Miner505,4.27,467,0
Miner506,2.50,273,0
Miner507,4.37,478,0
Miner508,15.17,347,0
Miner509,4.16,455,0
Miner510,3.10,339,0
Miner511,4.14,453,0
Miner512,2.48,271,0
Miner513,3.05,334,0
Miner514,3.37,368,0
Miner515,4.04,442,0
Miner516,3.89,425,0
Miner517,15.66,400,0
Miner518,3.66,400,0
Miner519,4.26,466,0
Miner520,3.49,382,0
Miner521,2.05,224,0
Miner522,2.27,248,0
Miner523,4.02,440,0
Miner524,2.82,308,0
Miner525,3.98,435,0
Miner526,1.68,184,0
Miner527,15.27,358,0
Miner528,3.98,435,0
Miner529,3.01,329,0
Miner530,2.98,326,0
